,Brand,CPU,Graphics,RAM,Display,Storage,Battery,Camera,Weight,Price,Type
10,Dell,12th Generation Intel® Core™ i5-1235U  Processor ,Intel,"8GB, onboard, LPDDR4, 2666 MHz","
15.6"", FHD 1920 x 1080, 120Hz, WVA, Non-Touch, Anti-Glare, 250 nit, Narrow Border, LED-Backlit
",512GB SSD,65 Watt AC Adapter,720p,1.65 kg (3.65 lbs.),103000,Normal
11,Dell,"

11th Generation Intel® Core™ i5-11320H Processor (8MB Cache, up to 4.5GHz)

",Intel® Iris® Xe Graphics with shared graphics memory,"8GB, DDR4, 3200MHz","

15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-Touch Narrow Border WVA Display

",256GB SSD,"

4-Cell Battery, 54WHr (Integrated)

","

HD 1280 x 720 at 30 fps cameraDual-array microphones

",1.63 kg,105000,Normal
12,Dell,"

AMD® Ryzen™ 5 5625U (16 MB total cache, 6 cores, 12 threads)

","

AMD Radeon Vega Graphics

","8GB, DDR4, 3200MHzExpandable up to 16GB","14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView",512GB SSD; Additional HDD slot available,4-Cell 54 Watt-Hours Integrated,1080p at 30 fps FHD cameraDual-array microphones,1.54Kg,105000,Normal
13,Dell,"11th Generation Intel Core i5-11320H Processor (8MB Cache, 4.5GHz)",Intel Iris Xe Graphics with shared graphics memory,"
8GB, onboard, LPDDR4x, 4267MHz
",13.3-inch 16:10 FHD+ (1920 x 1200) Anti-Glare Non-Touch Narrow Border 300nits WVA Display,"512 GB, M.2, PCIe NVMe, SSD",4-Cell 54 Watt-Hours Integrated,"720p at 30 fps, HD RGB camera, dual-array microphones",1.26kg,109000,Normal
14,Dell,"

12th Gen Intel® Core™ i5-1235U (12 MB cache, 10 cores, 12 threads, up to 4.40 GHz Turbo)

","

Intel® UHD Graphics

","8GB, DDR4, 3200MHzExpandable up to 16GB","16.1-inch IPS display; Full-HD+ (1920 x 1200, pixels) resolution; 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nits, ComfortView",256GB SSD; Additional HDD slot available,4-Cell 54 Watt-Hours Integrated,1080p at 30 fps FHD cameraDual-array microphones,1.87Kg,113400,Normal
15,Dell,10th Generation Intel® Core™ i5-10300H Processor,NVIDIA® GeForce GTX® 1650 Ti 4GB GDDR6,"
8GB DDR4, 3200MHzExpandable up to 32GB
",15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-touch Wide Viewing Angle 100%sRGB 8bit,"512 GB, M.2, PCIe NVMe, SSD",3-Cell 56 Watt-Hours Integrated,720p,1.75kg,115000,Normal
16,Dell,"

AMD Ryzen 7 5700U 8-core/16-thread Mobile Processor with Radeon™ Graphics

","

AMD Radeon Vega Graphics

","8GB, DDR4, 2666MHzExpandable up to 16GB",14-inch IPS display; Full-HD (1920 x 1080 pixels) resolution; Anti-glare LED Backlight Non-Touch Narrow Border WVA Display,512 SSD; Additional HDD slot available,4-Cell 54 Watt-Hours Integrated,720p,1.4g,115000,Normal
17,Dell,12th Generation Intel® Core™ i7-1255U  Processor ,Intel,"8GB, onboard, LPDDR4, 3200 MHz","
15.6"", FHD 1920 x 1080, 120Hz, WVA, Non-Touch, Anti-Glare, 250 nit, Narrow Border, LED-Backlit
",512GB SSD,65 Watt AC Adapter,720p,1.65 kg (3.65 lbs.),115000,Normal
18,Dell,"

AMD Ryzen 7 5700U 8-core/16-thread Mobile Processor with Radeon™ Graphics

","

AMD Radeon Vega Graphics

","8GB, DDR4, 2666MHzExpandable up to 16GB",15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-touch Narrow Border WVA Display,512 SSD; Additional HDD slot available,4-Cell 54 Watt-Hours Integrated,720p,1.6g,115000,Normal
19,Dell,"11th Generation Intel® Core™ i7-1165G7 Processor (12MB Cache, up to 4.7 GHz)","NVIDIA® GeForce® MX 350, 2 GB GDDR5","
8GB DDR4, 3200MHzExpandable up to 16GB
",15.6-inch FHD (1920 x 1080) Anti-glare LED Backlight Non-Touch Narrow Border WVA Display,"512 GB, M.2, PCIe NVMe, SSD",3-Cell 42 Watt-Hours Integrated,720p,1.85kg,116000,Normal
20,Dell,9th Generation Intel Core i7-9750H ,NVIDIA® GeForce® GTX 1660TI with 6GB GDDR5 graphics memory,"16GB, DDR4, 2666MHz; up to 32GB (additional memory sold separately)",15.6-inch Full-HD (1920 x 1080 pixels) IPS ,256GB SSD + 1TB HDD,"3-Cell Battery, 51 Whr (Integrated)",720p,2.34 kg,119000,Normal
21,Dell,12th Generation Intel® Core™ i7-1255U  Processor ,Intel,"8GB, onboard, LPDDR4, 3200 MHz","
15.6"", FHD 1920 x 1080, 120Hz, WVA, Non-Touch, Anti-Glare, 250 nit, Narrow Border, LED-Backlit
",512GB SSD,65 Watt AC Adapter,720p,1.65 kg (3.65 lbs.),119700,Normal
22,Dell,12th Generation Intel® Core™ i5-1235U  Processor ,"
NVIDIA MX550 2GB GDDR6
","8GB, onboard, LPDDR4, 2666 MHz","
15.6"", FHD 1920 x 1080, 120Hz, WVA, Non-Touch, Anti-Glare, 250 nit, Narrow Border, LED-Backlit
",512GB SSD,65 Watt AC Adapter,720p,1.65 kg (3.65 lbs.),122600,Normal
23,Dell,12th Generation Intel® Core™ i5-1235U  Processor ,Intel,"8GB, onboard, LPDDR4, 3200 MHz","
14.0-inch 16:10 FHD+ (1920 x 1200) Anti-Glare Non-Touch 250nits WVA Display with ComfortView Support
",512GB SSD,"4 Cell, 54 Wh, integrated",1080p at 30 fps FHD cameraDual-array microphones,1.54 kg (3.40 lbs.),125800,Normal
24,Dell,"

AMD Ryzen 7 5825U 8-core / 16-thread Processor with Radeon™ Graphics

","

AMD Radeon Vega Graphics

","8GB, DDR4, 3200MHzExpandable up to 16GB","16.1-inch IPS display; Full-HD+ (1920 x 1200, pixels) resolution; 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nits, ComfortView",512GB SSD; Additional HDD slot available,4-Cell 54 Watt-Hours Integrated,1080p at 30 fps FHD cameraDual-array microphones,1.87Kg,128000,Normal
25,Dell,"

13th Gen Intel® Core™ i5-1335U (12 MB cache, 10 cores, 12 threads, up to 4.60 GHz Turbo)

","

Intel® Iris® Xe Graphics

","8 GB, LPDDR5, 4800 MHz, integrated","14-inch Full-HD+ (1920 x 1200 pixels), 16:10 aspect ratio; 60Hz refresh rate, Touch display, WVA, TrueLife™, Narrow Border, Pen Support",512GB SSD,4-Cell 54 Watt-Hours Integrated,1080p at 30 fps FHD cameraDual-array microphones,1.57Kg,128000,Normal
26,Dell,AMD Ryzen 7 5825U Mobile Processor with Radeon Graphics,"

AMD Radeon Graphics with shared graphics memory

",8GB,"

14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView

","

512 GB, M.2, PCIe NVMe, SSD

",65 Watt AC Adapter,"

1080p at 30 fps FHD cameraDual-array microphones

",1.54KG(3.4 lb),129000,Normal
27,Dell,"11th Generation Intel® Core™ i7-11390H Processor (12MB Cache, up to 5.0GHz)",Intel® Iris® Xe Graphics with shared graphics memory,"
8GB, onboard, LPDDR4x, 4267MHz
",13.3-inch 16:10 FHD+ (1920 x 1200) Anti-Glare Non-Touch Narrow Border 300nits WVA Display,"512 GB, M.2, PCIe NVMe, SSD",4-Cell 54 Watt-Hours Integrated,"720p at 30 fps, HD RGB camera, dual-array microphones",1.26kg,133000,Normal
28,Dell,11th Generation Intel Core™ i5-11400H ,NVIDIA GeForce RTX 3050 4GB GDDR6,"8GB, DDR4, 2933MHz; up to 32GB (additional memory sold separately)","

15.6-inch IPS display; 120Hz refresh rate; Full-HD (1920 x 1080 pixels) resolution; 250 nits brightness; Anti- Glare panel; LED-Backlit display with Narrow Bezels

",512GB SSD,"


Intel® Wi-Fi 6 AX201 (2x2) Wi-Fi + Bluetooth


","

HD RGB camera with digital-array microphones in camera assembly

",2.44 kg,135000,Normal
29,Dell,"

12th Gen Intel® Core™ i7-1255U (12 MB cache, 10 cores, 12 threads, up to 4.70 GHz Turbo)

","

Intel® UHD Graphics

","16GB, DDR4, 3200MHzExpandable up to 16GB","16.1-inch IPS display; Full-HD+ (1920 x 1200, pixels) resolution; 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nits, ComfortView",512GB SSD; Additional HDD slot available,4-Cell 54 Watt-Hours Integrated,1080p at 30 fps FHD cameraDual-array microphones,1.87Kg,135000,Normal
30,Dell,12th Generation Intel® Core™ i7-1255U  Processor ,Intel,"8GB, onboard, LPDDR4, 3200 MHz","
14.0-inch 16:10 FHD+ (1920 x 1200) Anti-Glare Non-Touch 250nits WVA Display with ComfortView Support
",512GB SSD,"4 Cell, 54 Wh, integrated",1080p at 30 fps FHD cameraDual-array microphones,1.54 kg (3.40 lbs.),139700,Normal
